teensy_ms,esp_ms,sensor,temperature,humidity,pressure,gas
173123,298534,ENV,22.67,60.20,0.00,0.00
174123,299534,ENV,22.65,60.22,0.00,0.00
175123,300534,ENV,22.66,60.23,0.00,0.00
176123,301534,ENV,22.66,60.23,0.00,0.00
177123,302534,ENV,22.65,60.25,0.00,0.00
178123,303534,ENV,22.64,60.23,0.00,0.00
179123,304534,ENV,22.65,60.24,0.00,0.00
180123,305534,ENV,22.63,60.29,0.00,0.00
181123,306534,ENV,22.61,60.31,0.00,0.00
182123,307534,ENV,22.64,60.36,0.00,0.00
183123,308534,ENV,22.62,60.39,0.00,0.00
184123,309534,ENV,22.62,60.41,0.00,0.00
185123,310534,ENV,22.61,60.44,0.00,0.00
186123,311534,ENV,22.62,60.52,0.00,0.00
187123,312534,ENV,22.60,60.56,0.00,0.00
188123,313534,ENV,22.60,60.62,0.00,0.00
189123,314534,ENV,22.61,60.65,0.00,0.00
190123,315534,ENV,22.60,60.68,0.00,0.00
191123,316534,ENV,22.59,60.74,0.00,0.00
192123,317534,ENV,22.60,60.78,0.00,0.00
193123,318534,ENV,22.58,60.79,0.00,0.00
194123,319534,ENV,22.59,60.84,0.00,0.00
195123,320534,ENV,22.58,60.85,0.00,0.00
196123,321534,ENV,22.57,60.88,0.00,0.00
197123,322534,ENV,22.57,60.86,0.00,0.00
198123,323534,ENV,22.56,60.90,0.00,0.00
199123,324534,ENV,22.56,60.88,0.00,0.00
200122,325534,ENV,22.55,60.88,0.00,0.00
201122,326534,ENV,22.55,60.87,0.00,0.00
202122,327534,ENV,22.55,60.89,0.00,0.00
203122,328534,ENV,22.55,60.90,0.00,0.00
204122,329534,ENV,22.53,60.92,0.00,0.00
205122,330534,ENV,22.53,60.90,0.00,0.00
206122,331534,ENV,22.52,60.94,0.00,0.00
207122,332534,ENV,22.52,60.92,0.00,0.00
208122,333534,ENV,22.52,60.93,0.00,0.00
209122,334534,ENV,22.51,60.93,0.00,0.00
210122,335534,ENV,22.52,60.94,0.00,0.00
211122,336534,ENV,22.50,60.97,0.00,0.00
212122,337534,ENV,22.48,60.98,0.00,0.00
213122,338534,ENV,22.51,60.97,0.00,0.00
214122,339534,ENV,22.48,60.99,0.00,0.00
215122,340534,ENV,22.49,60.99,0.00,0.00
216122,341534,ENV,22.49,61.01,0.00,0.00
217122,342534,ENV,22.48,61.00,0.00,0.00
218122,343534,ENV,22.46,61.05,0.00,0.00
219122,344534,ENV,22.46,61.04,0.00,0.00
220122,345534,ENV,22.47,61.06,0.00,0.00
221122,346534,ENV,22.45,61.10,0.00,0.00
222122,347534,ENV,22.44,61.10,0.00,0.00
223122,348534,ENV,22.45,61.12,0.00,0.00
224122,349534,ENV,22.44,61.14,0.00,0.00
225122,350534,ENV,22.46,61.16,0.00,0.00
226122,351534,ENV,22.44,61.21,0.00,0.00
227122,352534,ENV,22.44,61.21,0.00,0.00
228122,353534,ENV,22.43,61.22,0.00,0.00
229122,354534,ENV,22.42,61.22,0.00,0.00
230122,355534,ENV,22.42,61.26,0.00,0.00
231122,356534,ENV,22.40,61.29,0.00,0.00
232122,357534,ENV,22.41,61.29,0.00,0.00
233122,358534,ENV,22.41,61.32,0.00,0.00
234122,359534,ENV,22.42,61.32,0.00,0.00
235122,360534,ENV,22.40,61.30,0.00,0.00
236122,361534,ENV,22.41,61.32,0.00,0.00
237122,362534,ENV,22.41,61.32,0.00,0.00
238122,363534,ENV,22.41,61.35,0.00,0.00
239122,364534,ENV,22.39,61.36,0.00,0.00
240122,365534,ENV,22.40,61.34,0.00,0.00
241122,366534,ENV,22.39,61.30,0.00,0.00
242122,367534,ENV,22.40,61.24,0.00,0.00
243122,368534,ENV,22.38,61.18,0.00,0.00
244122,369534,ENV,22.39,61.20,0.00,0.00
245122,370534,ENV,22.37,61.20,0.00,0.00
246122,371534,ENV,22.37,61.16,0.00,0.00
247122,372534,ENV,22.38,61.14,0.00,0.00
248122,373534,ENV,22.37,61.15,0.00,0.00
249122,374534,ENV,22.37,61.12,0.00,0.00
250122,375534,ENV,22.38,61.17,0.00,0.00
251122,376534,ENV,22.36,61.20,0.00,0.00
252122,377534,ENV,22.36,61.23,0.00,0.00
253121,378534,ENV,22.38,61.27,0.00,0.00
254121,379534,ENV,22.35,61.34,0.00,0.00
255121,380534,ENV,22.36,61.41,0.00,0.00
256121,381534,ENV,22.35,61.44,0.00,0.00
257121,382534,ENV,22.36,61.45,0.00,0.00
258121,383534,ENV,22.35,61.46,0.00,0.00
259121,384534,ENV,22.36,61.47,0.00,0.00
260121,385534,ENV,22.33,61.49,0.00,0.00
261121,386534,ENV,22.34,61.48,0.00,0.00
262121,387534,ENV,22.35,61.50,0.00,0.00
263121,388534,ENV,22.33,61.51,0.00,0.00
264121,389534,ENV,22.33,61.52,0.00,0.00
